uoa,filter1,filter2,MET001,MET002,MET003,MET004,MET005,MET006,MET007,MET008,MET009,MET010,MET011,MET012,MET013,MET014,MET015,MET016,MET017,MET018,MET019,MET020,MET021,MET022,MET023,MET024,MET025,MET026,MET027,MET028,MET029,MET030,MET031,MET032,MET033,MET034,MET035,MET036,MET037,MET038,MET039,MET040,MET041,MET042,MET043,MET044,MET045,MET046,MET047,MET048,MET049,MET062,MET063,MET064,MET050,MET051,MET052,MET053,MET054,MET055,MET056,MET057,MET058,MET065,MET066,MET067,MET059,MET060,MET061,MET068,MET069,MET070,MET071,MET072,MET073,MET074,MET075,MET076,MET077,MET078,MET079,MET080,MET081,MET082,MET083,MET084,MET085,MET086,MET088,MET089,MET090,MET091,MET092,MET093,MET094,MET095,MET096,MET097,MET098,MET099,MET100,MET101,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET116,MET117,MET118,MET121,MET119,MET122,MET120,MET123,MET124,MET125,MET126,MET127,MET137,MET128,MET129,MET130,MET131,MET132,MET133,MET134,MET135,MET136,MET138,MET139,MET140,MET141,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET149,MET151,MET152,MET153,MET150,MET154,MET155,MET156,MET157,MET158,MET159,MET160,MET161,MET162,MET163,MET164,MET165,MET166,MET167,MET168,MET169,MET170,MET171,MET172,MET182,MET183,MET184,MET185,MET186,MET187,MET188,MET189,MET173,MET174,MET175,MET176,MET177,MET178,MET179,MET180,MET181,MET190,MET191,MET192,MET193,MET194,MET195,MET196,MET198,MET197,MET199,MET200,MET201,MET202,MET203,MET204,MET205,MET206
uoa01,South,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoa02,East,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoa03,South,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoa04,East,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoa05,Centre,Refugees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoa06,Centre,IDPs,0.52,1.26,0.07,0.02,0.04,3,0.2,0.29,0.14,,,,58.05,47.5,16.47,0.27,0.18,0.06,6,0.43,0,2,0.23,1,,,,,93.4,0.16,,0.49,0.44,0.45,2,0.11,0.14,0.04,0.1,0.06,0.08,,,0.05,0.23,,,,,,,,0.2,0.12,,,0.08,,,,,,,,0.61,,,,,,,,,,,,,,,11.72,4.23,,7.83,0.07,0.32,0.14,0.06,0.06,,7,0.15,0.11,0.13,0.34,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,0.13,0.24,,,,,,,,,,5.81,1,0.02,0.13,22.73,,,,0.08,,,0.16,0.1,,,,,,0.11,,6680.1,76209.28,15.36,0.91,0.77,3.04,0.73,,9.52,32.82,,0.11,,0.11,0.09,,0.11,,0.14,0.02,0.01,0.29,0.86,0.72,1,0.99,0.94,1,0.04,0.05,1,0.02,0.1,0.46,0.48,0.34,,,,,,,,,,,,,,,,,
uoa07,South,IDPs,0.21,1.05,0.06,0.04,0.05,2,0.17,0.21,0.15,,,,63.19,38.99,20.46,0.27,0.1,0.13,7,0.49,1,2,0.16,0,,,,,67.67,0.2,,0.6,0.46,0.47,1,0.1,0.11,0.02,0.15,0.09,0.12,,,0.14,0.09,,,,,,,,0.2,0.07,,,0.1,,,,,,,,0.72,,,,,,,,,,,,,,,12.6,4.66,,9.16,0.09,0.11,0.12,0.11,0.07,,7,0.19,0.21,0.35,0.26,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,0.05,0.19,,,,,,,,,,6.19,1,0.03,0.11,33.51,,,,0.13,,,0.19,0.1,,,,,,0.1,,3229.71,100938.66,17.54,0.72,0.59,1.27,0.62,,7.85,34.73,,0.17,,0.27,0.11,,0.1,,0.08,0.03,0.01,0.46,1,0.87,1,0.92,0.88,1,0.03,0.05,1,0.01,0.06,0.56,0.54,0.38,,,,,,,,,,,,,,,,,
uoa08,South,Refugees,0.41,0.75,0.08,0.05,0.09,2,0.1,0.27,0.2,,,,119.54,64.05,14.05,0.2,0.14,0.11,2,0.42,0,6,0.16,0,,,,,103.04,0.16,,0.53,0.37,0.42,2,0.13,0.05,0.03,0.24,0.14,0.12,,,0.05,0.12,,,,,,,,0.24,0.13,,,0.13,,,,,,,,0.77,,,,,,,,,,,,,,,10.91,5.42,,9.79,0.1,0.24,0.13,0.12,0.06,,6.67,0.24,0.1,0.22,0.25,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.06,0.16,,,,,,,,,,5.19,1,0.03,0.16,15.76,,,,0.07,,,0.3,0.14,,,,,,0.08,,6254.27,65433.22,14.63,0.95,0.62,2.12,0.7,,8.09,36.65,,0.14,,0.13,0.14,,0.12,,0.04,0.03,0.01,0.25,0.96,0.98,1,0.84,0.71,1,0.04,0.1,1,0.02,0.04,0.55,0.47,0.31,,,,,,,,,,,,,,,,,
uoa09,Centre,Refugees,0.23,1.22,0.04,0.03,0.09,1,0.12,0.31,0.17,,,,84.27,45.69,27.88,0.12,0.07,0.09,5,0.7,0,4,0.32,0,,,,,50.35,0.2,,0.59,0.45,0.45,3,0.07,0.06,0.06,0.19,0.05,0.05,,,0.11,0.25,,,,,,,,0.21,0.12,,,0.09,,,,,,,,0.74,,,,,,,,,,,,,,,11.07,4.46,,8.13,0.09,0.17,0.06,0.04,0.02,,7,0.15,0.13,0.21,0.31,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,0.09,0.25,,,,,,,,,,5.45,1,0.01,0.23,15.11,,,,0.13,,,0.17,0.14,,,,,,0.08,,8792.81,174402.48,17.37,0.95,0.63,1.98,0.77,,8.76,30.7,,0.19,,0.14,0.14,,0.07,,0.05,0.03,0.01,0.49,1,0.9,0.9,0.94,0.82,1,0.06,0.09,1,0.01,0.08,0.45,0.45,0.29,,,,,,,,,,,,,,,,,
uoa10,West,Hosts,0.6,0.88,0.08,0.06,0.04,1,0.14,0.25,0.19,,,,73.45,39.16,34.83,0.14,0.18,0.06,7,0.35,0,3,0.32,1,,,,,52.29,0.16,,0.49,0.36,0.36,3,0.09,0.09,0.07,0.16,0.13,0.05,,,0.08,0.18,,,,,,,,0.12,0.13,,,0.07,,,,,,,,0.8,,,,,,,,,,,,,,,12.02,5.28,,7.31,0.05,0.3,0.05,0.13,0.06,,7,0.16,0.1,0.11,0.18,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,0.08,0.11,,,,,,,,,,5.05,1,0.02,0.19,11.55,,,,0.19,,,0.12,0.14,,,,,,0.11,,9646.74,146836.34,15.51,0.87,0.59,2.39,0.71,,9.06,33.51,,0.12,,0.2,0.1,,0.13,,0.13,0.02,0.01,0.31,1,0.96,1,0.88,0.8,1,0.06,0.09,1,0.01,0.06,0.55,0.49,0.32,,,,,,,,,,,,,,,,,
