uoa,filter1,filter2,MET001,MET002,MET003,MET004,MET005,MET006,MET007,MET008,MET009,MET010,MET011,MET012,MET013,MET014,MET015,MET016,MET017,MET018,MET019,MET020,MET021,MET022,MET023,MET024,MET025,MET026,MET027,MET028,MET029,MET030,MET031,MET032,MET033,MET034,MET035,MET036,MET037,MET038,MET039,MET040,MET041,MET042,MET043,MET044,MET045,MET046,MET047,MET048,MET049,MET062,MET063,MET064,MET050,MET051,MET052,MET053,MET054,MET055,MET056,MET057,MET058,MET065,MET066,MET067,MET059,MET060,MET061,MET068,MET069,MET070,MET071,MET072,MET073,MET074,MET075,MET076,MET077,MET078,MET079,MET080,MET081,MET082,MET083,MET084,MET085,MET086,MET088,MET089,MET090,MET091,MET092,MET093,MET094,MET095,MET096,MET097,MET098,MET099,MET100,MET101,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET116,MET117,MET118,MET121,MET119,MET122,MET120,MET123,MET124,MET125,MET126,MET127,MET137,MET128,MET129,MET130,MET131,MET132,MET133,MET134,MET135,MET136,MET138,MET139,MET140,MET141,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET149,MET151,MET152,MET153,MET150,MET154,MET155,MET156,MET157,MET158,MET159,MET160,MET161,MET162,MET163,MET164,MET165,MET166,MET167,MET168,MET169,MET170,MET171,MET172,MET182,MET183,MET184,MET185,MET186,MET187,MET188,MET189,MET173,MET174,MET175,MET176,MET177,MET178,MET179,MET180,MET181,MET190,MET191,MET192,MET193,MET194,MET195,MET196,MET198,MET197,MET199,MET200,MET201,MET202,MET203,MET204,MET205,MET206
SS08,SS08,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS09,SS09,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS10,SS10,IDPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS0101,SS01,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS0102,SS01,IDPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS0103,SS01,Hosts,0.42,0.52,0.1,0.07,0.09,2,0.16,0.28,0.15,,,,49.08,27.01,33.75,0.26,0.19,0.1,3,0.48,0,7,0.31,0,,,,,92.2,0.13,,0.43,0.35,0.43,2,0.12,0.11,0.04,0.2,0.11,0.11,,,0.11,0.28,,,,,,,,0.17,0.05,,,0.06,,,,,,,,0.67,,,,,,,,,,,,,,,11.07,5.58,,8.78,0.12,0.2,0.06,0.07,0.02,,6.27,0.15,0.19,0.34,0.15,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,0.1,0.15,,,,,,,,,,5.56,1,0.03,0.13,33.04,,,,0.18,,,0.21,0.11,,,,,,0.07,,3889.45,113654.19,14.7,0.77,0.7,2.74,0.68,,7.63,30.73,,0.22,,0.26,0.12,,0.11,,0.12,0.02,0.01,0.18,1,0.9,1,0.83,0.92,1,0.02,0.04,1,0.02,0.09,0.45,0.49,0.31,,,,,,,,,,,,,,,,,
SS0104,SS01,IDPs,0.62,1.31,0.04,0.04,0.07,1,0.12,0.09,0.16,,,,76.67,43.72,16.37,0.2,0.17,0.1,5,0.32,0,4,0.33,0,,,,,99.06,0.2,,0.52,0.49,0.35,1,0.09,0.09,0.07,0.28,0.11,0.12,,,0.07,0.19,,,,,,,,0.22,0.04,,,0.07,,,,,,,,0.67,,,,,,,,,,,,,,,13.95,5.95,,7.11,0.1,0.18,0.1,0.11,0.04,,6.21,0.22,0.14,0.11,0.31,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,0.13,0.23,,,,,,,,,,6.03,1,0.03,0.26,29.62,,,,0.07,,,0.24,0.1,,,,,,0.06,,8604.26,53008.49,19.64,0.83,0.64,2.44,0.7,,7.09,32.89,,0.2,,0.09,0.05,,0.05,,0.07,0.02,0.01,0.29,1,0.9,1,0.81,0.91,1,0.07,0.1,1,0.02,0.09,0.53,0.47,0.3,,,,,,,,,,,,,,,,,
SS0105,SS01,Hosts,0.25,0.74,0.06,0.06,0.08,2,0.1,0.25,0.12,,,,75.42,56.53,23.08,0.23,0.16,0.07,6,0.68,1,6,0.14,0,,,,,68.73,0.16,,0.42,0.42,0.36,2,0.06,0.08,0.07,0.21,0.1,0.05,,,0.09,0.19,,,,,,,,0.27,0.05,,,0.06,,,,,,,,0.76,,,,,,,,,,,,,,,14.85,5.58,,7.36,0.06,0.3,0.13,0.13,0.06,,5.82,0.22,0.2,0.26,0.24,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,0.12,0.23,,,,,,,,,,5.84,1,0.02,0.22,24.89,,,,0.1,,,0.14,0.08,,,,,,0.05,,8951.72,135643.43,15.36,0.77,0.58,3.04,0.8,,8.2,33.21,,0.1,,0.1,0.12,,0.07,,0.08,0.02,0.01,0.39,0.95,0.77,1,0.93,0.71,1,0.03,0.05,1,0.02,0.09,0.5,0.43,0.37,,,,,,,,,,,,,,,,,
SS0106,SS01,IDPs,0.65,0.44,0.08,0.02,0.09,1,0.1,0.28,0.16,,,,46.1,61.06,14.5,0.13,0.17,0.06,4,0.69,1,4,0.23,1,,,,,44.71,0.07,,0.51,0.45,0.5,1,0.08,0.13,0.05,0.13,0.13,0.14,,,0.11,0.21,,,,,,,,0.28,0.07,,,0.06,,,,,,,,0.74,,,,,,,,,,,,,,,12.97,4.36,,7.23,0.11,0.32,0.1,0.12,0.04,,7,0.11,0.08,0.19,0.23,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.06,0.09,,,,,,,,,,4.98,1,0.02,0.22,21.06,,,,0.18,,,0.2,0.09,,,,,,0.13,,4956.56,124727.32,14.95,0.86,0.61,2.19,0.62,,9.98,32.98,,0.23,,0.28,0.1,,0.12,,0.07,0.02,0.01,0.35,0.92,0.86,0.95,0.99,0.8,1,0.06,0.09,1,0.01,0.08,0.45,0.57,0.33,,,,,,,,,,,,,,,,,
SS0201,SS02,IDPs,0.64,1.25,0.08,0.03,0.08,1,0.08,0.1,0.17,,,,59.79,59.97,21.94,0.21,0.17,0.05,2,0.48,1,6,0.18,0,,,,,104.48,0.1,,0.56,0.38,0.49,1,0.07,0.07,0.06,0.24,0.07,0.11,,,0.08,0.09,,,,,,,,0.09,0.13,,,0.09,,,,,,,,0.67,,,,,,,,,,,,,,,14.57,4.91,,9.58,0.05,0.21,0.09,0.06,0.06,,6.32,0.28,0.11,0.25,0.13,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,0.12,0.11,,,,,,,,,,6.76,1,0.03,0.2,16.06,,,,0.07,,,0.18,0.12,,,,,,0.08,,4260.67,58819.13,17.35,0.87,0.64,1.15,0.77,,7.2,39.71,,0.22,,0.26,0.12,,0.07,,0.1,0.01,0.01,0.36,1,0.84,0.91,0.88,0.88,1,0.07,0.05,1,0.01,0.09,0.58,0.53,0.35,,,,,,,,,,,,,,,,,
